colour	x	y	clickSelects	clickSelects2	fill
#C2C2C2	0.0454545454545455	0.146464646464646	11	1	#C2C2C2
#C0C0C0	0.0454545454545455	0.348484848484848	31	1	#C0C0C0
#D5D5D5	0.0454545454545455	0.55050505050505	51	1	#D5D5D5
#C0C0C0	0.0454545454545455	0.752525252525252	71	6	#C0C0C0
#D4D4D4	0.0454545454545455	0.954545454545455	91	6	#D4D4D4
#C5C5C5	0.0933014354066986	0.0454545454545455	1	1	#C5C5C5
#858585	0.0933014354066986	0.247474747474747	21	1	#858585
#A8A8A8	0.0933014354066986	0.449494949494949	41	1	#A8A8A8
#ADADAD	0.0933014354066986	0.651515151515151	61	6	#ADADAD
#8E8E8E	0.0933014354066986	0.853535353535353	81	6	#8E8E8E
#6C6C6C	0.141148325358852	0.146464646464646	12	1	#6C6C6C
#959595	0.141148325358852	0.348484848484848	32	1	#959595
#9B9B9B	0.141148325358852	0.55050505050505	52	5	#9B9B9B
#6B6B6B	0.141148325358852	0.752525252525252	72	5	#6B6B6B
#AFAFAF	0.141148325358852	0.954545454545455	92	6	#AFAFAF
#969696	0.188995215311005	0.0454545454545455	2	2	#969696
#969696	0.188995215311005	0.247474747474747	22	1	#969696
#989898	0.188995215311005	0.449494949494949	42	1	#989898
#8C8C8C	0.188995215311005	0.651515151515151	62	6	#8C8C8C
#808080	0.188995215311005	0.853535353535353	82	6	#808080
#A7A7A7	0.236842105263158	0.146464646464646	13	1	#A7A7A7
#7D7D7D	0.236842105263158	0.348484848484848	33	1	#7D7D7D
#8E8E8E	0.236842105263158	0.55050505050505	53	1	#8E8E8E
#8E8E8E	0.236842105263158	0.752525252525252	73	1	#8E8E8E
#B6B6B6	0.236842105263158	0.954545454545455	93	6	#B6B6B6
#C8C8C8	0.284688995215311	0.0454545454545455	3	3	#C8C8C8
#9E9E9E	0.284688995215311	0.247474747474747	23	3	#9E9E9E
#AFAFAF	0.284688995215311	0.449494949494949	43	1	#AFAFAF
#8D8D8D	0.284688995215311	0.651515151515151	63	1	#8D8D8D
#7C7C7C	0.284688995215311	0.853535353535353	83	6	#7C7C7C
#B6B6B6	0.332535885167464	0.146464646464646	14	3	#B6B6B6
#B1B1B1	0.332535885167464	0.348484848484848	34	3	#B1B1B1
#A2A2A2	0.332535885167464	0.55050505050505	54	1	#A2A2A2
#858585	0.332535885167464	0.752525252525252	74	5	#858585
#A3A3A3	0.332535885167464	0.954545454545455	94	5	#A3A3A3
#C7C7C7	0.380382775119617	0.0454545454545455	4	3	#C7C7C7
#878787	0.380382775119617	0.247474747474747	24	3	#878787
#B8B8B8	0.380382775119617	0.449494949494949	44	1	#B8B8B8
#969696	0.380382775119617	0.651515151515151	64	1	#969696
#7A7A7A	0.380382775119617	0.853535353535353	84	5	#7A7A7A
#B2B2B2	0.42822966507177	0.146464646464646	15	3	#B2B2B2
#BEBEBE	0.42822966507177	0.348484848484848	35	3	#BEBEBE
#9F9F9F	0.42822966507177	0.55050505050505	55	1	#9F9F9F
#6D6D6D	0.42822966507177	0.752525252525252	75	1	#6D6D6D
