x	y	label	showSelected
0.5	0.5	?|10357	?|10357
0.5	0.5	?|10431	?|10431
0.5	0.5	?|155060	?|155060
0.5	0.5	?|390284	?|390284
0.5	0.5	?|57714	?|57714
0.5	0.5	?|645851	?|645851
0.5	0.5	?|653553	?|653553
0.5	0.5	?|8225	?|8225
0.5	0.5	A1BG	A1BG
0.5	0.5	A2LD1	A2LD1
0.5	0.5	AAAS	AAAS
0.5	0.5	AACS	AACS
0.5	0.5	AAGAB	AAGAB
0.5	0.5	AAK1	AAK1
0.5	0.5	AAMP	AAMP
0.5	0.5	AARS	AARS
0.5	0.5	AARS2	AARS2
0.5	0.5	AARSD1	AARSD1
0.5	0.5	AASDH	AASDH
0.5	0.5	AASDHPPT	AASDHPPT
0.5	0.5	AATF	AATF
0.5	0.5	AATK	AATK
0.5	0.5	ABAT	ABAT
0.5	0.5	ABCA1	ABCA1
0.5	0.5	ABCA2	ABCA2
0.5	0.5	ABCA3	ABCA3
0.5	0.5	ABCA5	ABCA5
0.5	0.5	ABCA7	ABCA7
0.5	0.5	ABCB1	ABCB1
0.5	0.5	ABCB10	ABCB10
0.5	0.5	ABCB6	ABCB6
0.5	0.5	ABCB7	ABCB7
0.5	0.5	ABCB8	ABCB8
0.5	0.5	ABCB9	ABCB9
0.5	0.5	ABCC1	ABCC1
0.5	0.5	ABCC10	ABCC10
0.5	0.5	ABCC2	ABCC2
0.5	0.5	ABCC4	ABCC4
0.5	0.5	ABCC5	ABCC5
0.5	0.5	ABCC6	ABCC6
0.5	0.5	ABCD1	ABCD1
0.5	0.5	ABCD3	ABCD3
0.5	0.5	ABCD4	ABCD4
0.5	0.5	ABCE1	ABCE1
0.5	0.5	ABCF1	ABCF1
0.5	0.5	ABCF2	ABCF2
0.5	0.5	ABCF3	ABCF3
0.5	0.5	ABCG1	ABCG1
0.5	0.5	ABHD1	ABHD1
0.5	0.5	ABHD10	ABHD10
0.5	0.5	ABHD11	ABHD11
0.5	0.5	ABHD12	ABHD12
0.5	0.5	ABHD13	ABHD13
0.5	0.5	ABHD14A	ABHD14A
0.5	0.5	ABHD14B	ABHD14B
0.5	0.5	ABHD15	ABHD15
0.5	0.5	ABHD2	ABHD2
0.5	0.5	ABHD3	ABHD3
0.5	0.5	ABHD4	ABHD4
0.5	0.5	ABHD5	ABHD5
0.5	0.5	ABHD6	ABHD6
0.5	0.5	ABHD8	ABHD8
0.5	0.5	ABI1	ABI1
0.5	0.5	ABI2	ABI2
0.5	0.5	ABI3	ABI3
0.5	0.5	ABL1	ABL1
0.5	0.5	ABL2	ABL2
0.5	0.5	ABLIM1	ABLIM1
0.5	0.5	ABR	ABR
0.5	0.5	ABRA	ABRA
0.5	0.5	ABT1	ABT1
0.5	0.5	ABTB1	ABTB1
0.5	0.5	ABTB2	ABTB2
0.5	0.5	ACAA1	ACAA1
0.5	0.5	ACAA2	ACAA2
0.5	0.5	ACACA	ACACA
0.5	0.5	ACACB	ACACB
0.5	0.5	ACAD10	ACAD10
0.5	0.5	ACAD11	ACAD11
0.5	0.5	ACAD8	ACAD8
0.5	0.5	ACAD9	ACAD9
0.5	0.5	ACADM	ACADM
0.5	0.5	ACADS	ACADS
0.5	0.5	ACADSB	ACADSB
0.5	0.5	ACADVL	ACADVL
0.5	0.5	ACAP1	ACAP1
0.5	0.5	ACAP2	ACAP2
0.5	0.5	ACAP3	ACAP3
0.5	0.5	ACAT1	ACAT1
0.5	0.5	ACAT2	ACAT2
0.5	0.5	ACBD3	ACBD3
0.5	0.5	ACBD4	ACBD4
0.5	0.5	ACBD5	ACBD5
0.5	0.5	ACBD6	ACBD6
0.5	0.5	ACCN3	ACCN3
0.5	0.5	ACCS	ACCS
0.5	0.5	ACD	ACD
0.5	0.5	ACER2	ACER2
0.5	0.5	ACER3	ACER3
0.5	0.5	ACIN1	ACIN1
0.5	0.5	ACLY	ACLY
0.5	0.5	ACN9	ACN9
0.5	0.5	ACO1	ACO1
0.5	0.5	ACO2	ACO2
0.5	0.5	ACOT1	ACOT1
0.5	0.5	ACOT11	ACOT11
0.5	0.5	ACOT13	ACOT13
0.5	0.5	ACOT2	ACOT2
0.5	0.5	ACOT7	ACOT7
0.5	0.5	ACOT8	ACOT8
0.5	0.5	ACOT9	ACOT9
0.5	0.5	ACOX1	ACOX1
0.5	0.5	ACOX3	ACOX3
0.5	0.5	ACP1	ACP1
0.5	0.5	ACP2	ACP2
0.5	0.5	ACP5	ACP5
0.5	0.5	ACP6	ACP6
0.5	0.5	ACPL2	ACPL2
0.5	0.5	ACPP	ACPP
0.5	0.5	ACRBP	ACRBP
0.5	0.5	ACRC	ACRC
0.5	0.5	ACSF2	ACSF2
0.5	0.5	ACSF3	ACSF3
0.5	0.5	ACSL1	ACSL1
0.5	0.5	ACSL3	ACSL3
0.5	0.5	ACSL4	ACSL4
0.5	0.5	ACSL5	ACSL5
0.5	0.5	ACSM3	ACSM3
0.5	0.5	ACSS1	ACSS1
0.5	0.5	ACSS2	ACSS2
0.5	0.5	ACTA2	ACTA2
0.5	0.5	ACTB	ACTB
0.5	0.5	ACTG1	ACTG1
0.5	0.5	ACTL6A	ACTL6A
0.5	0.5	ACTN1	ACTN1
0.5	0.5	ACTN4	ACTN4
0.5	0.5	ACTR10	ACTR10
0.5	0.5	ACTR1A	ACTR1A
0.5	0.5	ACTR1B	ACTR1B
0.5	0.5	ACTR2	ACTR2
0.5	0.5	ACTR3	ACTR3
0.5	0.5	ACTR3B	ACTR3B
0.5	0.5	ACTR5	ACTR5
0.5	0.5	ACTR6	ACTR6
0.5	0.5	ACTR8	ACTR8
0.5	0.5	ACVR1	ACVR1
0.5	0.5	ACVR1B	ACVR1B
0.5	0.5	ACVR2A	ACVR2A
0.5	0.5	ACVR2B	ACVR2B
0.5	0.5	ACY1	ACY1
0.5	0.5	ACYP1	ACYP1
0.5	0.5	ACYP2	ACYP2
