colour	x	y	clickSelects	clickSelects2	fill
#C7C7C7	0.0454545454545455	0.0933014354066986	21	1	#C7C7C7
#D4D4D4	0.0454545454545455	0.188995215311005	61	1	#D4D4D4
#D3D3D3	0.0454545454545455	0.284688995215311	101	1	#D3D3D3
#E2E2E2	0.0454545454545455	0.380382775119617	141	1	#E2E2E2
#C2C2C2	0.0454545454545455	0.476076555023923	181	1	#C2C2C2
#DFDFDF	0.0454545454545455	0.57177033492823	221	1	#DFDFDF
#A0A0A0	0.0454545454545455	0.667464114832536	261	6	#A0A0A0
#E5E5E5	0.0454545454545455	0.763157894736842	301	6	#E5E5E5
#D0D0D0	0.0454545454545455	0.858851674641148	341	6	#D0D0D0
#E0E0E0	0.0454545454545455	0.954545454545455	381	6	#E0E0E0
#C3C3C3	0.0687645687645688	0.0454545454545455	1	1	#C3C3C3
#B4B4B4	0.0687645687645688	0.141148325358852	41	1	#B4B4B4
#B5B5B5	0.0687645687645688	0.236842105263158	81	1	#B5B5B5
#B6B6B6	0.0687645687645688	0.332535885167464	121	1	#B6B6B6
#D6D6D6	0.0687645687645688	0.42822966507177	161	1	#D6D6D6
#B3B3B3	0.0687645687645688	0.523923444976077	201	1	#B3B3B3
#C6C6C6	0.0687645687645688	0.619617224880383	241	1	#C6C6C6
#C7C7C7	0.0687645687645688	0.715311004784689	281	6	#C7C7C7
#CACACA	0.0687645687645688	0.811004784688995	321	6	#CACACA
#B7B7B7	0.0687645687645688	0.906698564593302	361	6	#B7B7B7
#ADADAD	0.0920745920745921	0.0933014354066986	22	1	#ADADAD
#B0B0B0	0.0920745920745921	0.188995215311005	62	1	#B0B0B0
#B4B4B4	0.0920745920745921	0.284688995215311	102	1	#B4B4B4
#D0D0D0	0.0920745920745921	0.380382775119617	142	1	#D0D0D0
#CACACA	0.0920745920745921	0.476076555023923	182	1	#CACACA
#CACACA	0.0920745920745921	0.57177033492823	222	1	#CACACA
#C2C2C2	0.0920745920745921	0.667464114832536	262	6	#C2C2C2
#DADADA	0.0920745920745921	0.763157894736842	302	6	#DADADA
#5F5F5F	0.0920745920745921	0.858851674641148	342	6	#5F5F5F
#D1D1D1	0.0920745920745921	0.954545454545455	382	6	#D1D1D1
#C6C6C6	0.115384615384615	0.0454545454545455	2	1	#C6C6C6
#B0B0B0	0.115384615384615	0.141148325358852	42	1	#B0B0B0
#9F9F9F	0.115384615384615	0.236842105263158	82	1	#9F9F9F
#C9C9C9	0.115384615384615	0.332535885167464	122	1	#C9C9C9
#DDDDDD	0.115384615384615	0.42822966507177	162	1	#DDDDDD
#D4D4D4	0.115384615384615	0.523923444976077	202	1	#D4D4D4
#D7D7D7	0.115384615384615	0.619617224880383	242	1	#D7D7D7
